positive_ratings,log_pos_ratings,price,log_price,achievements,log_achievements,required_age,english,release_year,windows,mac,linux,n_categories,n_genres,n_tags,popular
2618,7.870547844507712,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,4,1,3,TRUE
1369,7.222566018822171,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,4,1,3,TRUE
65,4.189654742026425,2.49,1.2499017362143359,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
54,4.007333185232471,2.49,1.2499017362143359,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
108,4.6913478822291435,12.99,2.63834278867739,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
249,5.521460917862246,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
57,4.060443010546419,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,2,1,3,FALSE
417,6.035481432524756,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,3,1,3,FALSE
4819,8.480529207044645,0,0,0,0,0,1,2006,TRUE,FALSE,FALSE,4,3,3,TRUE
662,6.4967749901858625,4.29,1.665818245870208,12,2.5649493574615367,0,1,2010,TRUE,FALSE,FALSE,3,1,3,FALSE
973,6.881411303642535,3.99,1.6074359097634274,0,0,0,1,2006,TRUE,TRUE,FALSE,3,1,3,TRUE
52,3.970291913552122,0,0,0,0,0,1,2006,TRUE,FALSE,FALSE,1,2,3,FALSE
610,6.415096959171596,2.99,1.3837912309017721,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,FALSE
6161,8.726156679156613,14.99,2.771963526845863,0,0,0,1,2007,TRUE,FALSE,FALSE,1,1,3,TRUE
740,6.608000625296087,9.99,2.39698576841553,0,0,0,1,2006,TRUE,FALSE,FALSE,1,1,3,TRUE
1555,7.349873704738337,14.99,2.771963526845863,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,TRUE
2434,7.79770203551669,14.99,2.771963526845863,0,0,0,1,2006,TRUE,TRUE,FALSE,2,1,3,TRUE
490,6.19644412779452,14.99,2.771963526845863,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
180,5.198497031265826,1.99,1.095273387402595,0,0,0,1,2008,TRUE,FALSE,FALSE,2,1,3,FALSE
31,3.4657359027997265,3.99,1.6074359097634274,0,0,0,1,2007,TRUE,FALSE,FALSE,3,3,3,FALSE
145,4.983606621708336,5.99,1.944480556245719,0,0,0,1,2008,TRUE,FALSE,FALSE,3,1,3,FALSE
212,5.3612921657094255,4.99,1.7900914121273581,0,0,0,1,2006,TRUE,FALSE,FALSE,3,1,3,FALSE
282,5.645446897643238,9.99,2.39698576841553,0,0,0,1,2006,TRUE,TRUE,TRUE,3,1,3,FALSE
1633,7.3987862754199485,15.99,2.8326249356838407,33,3.5263605246161616,0,1,2008,TRUE,TRUE,TRUE,5,3,3,TRUE
142,4.962844630259907,3.49,1.501852701754163,0,0,0,1,2010,TRUE,FALSE,FALSE,2,2,3,FALSE
57,4.060443010546419,3.49,1.501852701754163,0,0,0,1,2010,TRUE,FALSE,FALSE,2,2,3,FALSE
2832,7.949091499830517,24.99,3.2577118486533987,69,4.248495242049359,0,1,2013,TRUE,TRUE,TRUE,7,2,3,TRUE
52,3.970291913552122,22.99,3.177637076851603,0,0,0,1,2006,TRUE,FALSE,FALSE,2,1,3,FALSE
127,4.852030263919617,22.99,3.177637076851603,0,0,0,1,2006,TRUE,FALSE,FALSE,1,1,3,FALSE
33,3.5263605246161616,22.99,3.177637076851603,0,0,0,1,2006,TRUE,FALSE,FALSE,4,1,3,FALSE
